41
20180302,0,308.6499938964844
20180228,0,312.95001220703125
20180227,0,316.25
20180226,0,317.6000061035156
20180223,0,317.45001220703125
20180222,0,312.3500061035156
20180221,0,314.54998779296875
20180220,0,312.5
20180219,0,316.75
20180214,0,314.79998779296875
20180213,0,311.8999938964844
20180212,0,308.6000061035156
20180209,0,304.3500061035156
20180208,0,313.0
20180207,0,310.0
20180206,0,318.1499938964844
20180205,0,323.5
20180202,0,327.8999938964844
20180201,0,334.1499938964844
20180131,0,334.95001220703125
20180130,0,334.3999938964844
20180129,0,339.0
20180126,0,336.45001220703125
20180125,0,334.79998779296875
20180124,0,332.1000061035156
20180123,0,331.75
20180122,0,326.75
20180119,0,330.1000061035156
20180118,0,329.8999938964844
20180117,0,329.70001220703125
20180116,0,331.0
20180115,0,327.79998779296875
20180112,0,327.3500061035156
20180111,0,327.0
20180110,0,328.3500061035156
20180109,0,330.95001220703125
20180108,0,331.75
20180105,0,329.45001220703125
20180104,0,325.5
20180103,0,328.20001220703125
20180102,0,327.0
